pair_id,repetition,operation,workload_size,concurrency,attempt_id_fabric,attempt_id_traditional,run_id_fabric,run_id_traditional,attempted_requests_fabric,attempted_requests_traditional,successful_requests_fabric,successful_requests_traditional,failed_requests_fabric,failed_requests_traditional,success_rate_fabric,success_rate_traditional,p95_latency_ms_fabric,p95_latency_ms_traditional,successful_throughput_ops_s_fabric,successful_throughput_ops_s_traditional,p95_latency_ms_difference,p95_latency_ms_ratio,successful_throughput_ops_s_difference,successful_throughput_ops_s_ratio
final-20260805T122631Z-11a3fbb-n0100-c01-r08,8,OP4,100,1,n0100-c01-r08-attempt01,n0100-c01-r08-attempt01,n0100-c01-r08-attempt01-fabric-measured-OP4,n0100-c01-r08-attempt01-traditional-measured-OP4,100,100,100,100,0,0,1.0,1.0,2194.00999815,14.222293,0.4795043071372086,85.35563669291668,2179.78770515,154.265560283,-84.8761323858,0.00561772280913
final-20260805T122631Z-11a3fbb-n0100-c01-r08,8,OP5,100,1,n0100-c01-r08-attempt01,n0100-c01-r08-attempt01,n0100-c01-r08-attempt01-fabric-measured-OP5,n0100-c01-r08-attempt01-traditional-measured-OP5,100,100,100,100,0,0,1.0,1.0,53.32467559999999,32.48287209999999,51.296192484866815,68.79324590663418,20.8418035,1.6416244055,-17.4970534218,0.745657394252
final-20260805T122631Z-11a3fbb-n0100-c01-r08,8,OP6,100,1,n0100-c01-r08-attempt01,n0100-c01-r08-attempt01,n0100-c01-r08-attempt01-fabric-measured-OP6,n0100-c01-r08-attempt01-traditional-measured-OP6,100,100,100,100,0,0,1.0,1.0,13.44325535,8.6597443,86.17455605800808,145.61350987000768,4.78351105,1.55238479155,-59.438953812,0.591803302694
final-20260805T122631Z-11a3fbb-n0100-c01-r09,9,OP1,100,1,n0100-c01-r09-attempt01,n0100-c01-r09-attempt01,n0100-c01-r09-attempt01-fabric-measured-OP1,n0100-c01-r09-attempt01-traditional-measured-OP1,100,100,100,100,0,0,1.0,1.0,2246.0014442,15.5898337,0.4778265259279231,77.76422738707699,2230.4116105,144.068338856,-77.2864008611,0.00614455440481
final-20260805T122631Z-11a3fbb-n0100-c01-r09,9,OP2,100,1,n0100-c01-r09-attempt01,n0100-c01-r09-attempt01,n0100-c01-r09-attempt01-fabric-measured-OP2,n0100-c01-r09-attempt01-traditional-measured-OP2,100,100,100,100,0,0,1.0,1.0,24.32767615,8.3196769,49.93735361485884,159.1174435157898,16.00799925,2.92411309266,-109.180089901,0.313839592388
final-20260805T122631Z-11a3fbb-n0100-c01-r09,9,OP3,100,1,n0100-c01-r09-attempt01,n0100-c01-r09-attempt01,n0100-c01-r09-attempt01-fabric-measured-OP3,n0100-c01-r09-attempt01-traditional-measured-OP3,100,100,100,100,0,0,1.0,1.0,2181.7317845,71.28879509999994,0.4785725395845527,40.46008515818622,2110.4429894,30.6041332504,-39.9815126186,0.0118282632801
final-20260805T122631Z-11a3fbb-n0100-c01-r09,9,OP4,100,1,n0100-c01-r09-attempt01,n0100-c01-r09-attempt01,n0100-c01-r09-attempt01-fabric-measured-OP4,n0100-c01-r09-attempt01-traditional-measured-OP4,100,100,100,100,0,0,1.0,1.0,2128.0508405999994,14.3477507,0.4799872801658161,87.137522816492,2113.7030899,148.319474257,-86.6575355363,0.00550838794415
final-20260805T122631Z-11a3fbb-n0100-c01-r09,9,OP5,100,1,n0100-c01-r09-attempt01,n0100-c01-r09-attempt01,n0100-c01-r09-attempt01-fabric-measured-OP5,n0100-c01-r09-attempt01-traditional-measured-OP5,100,100,100,100,0,0,1.0,1.0,44.13151649999999,9.10066175,45.95167441704992,137.65216562494675,35.03085475,4.84926456035,-91.7004912079,0.33382456577
final-20260805T122631Z-11a3fbb-n0100-c01-r09,9,OP6,100,1,n0100-c01-r09-attempt01,n0100-c01-r09-attempt01,n0100-c01-r09-attempt01-fabric-measured-OP6,n0100-c01-r09-attempt01-traditional-measured-OP6,100,100,100,100,0,0,1.0,1.0,14.78647565,14.8982419,84.59007496563616,109.60823677138136,-0.11176625,0.992498024213,-25.0181618057,0.771749254046
final-20260805T122631Z-11a3fbb-n0100-c01-r10,10,OP1,100,1,n0100-c01-r10-attempt01,n0100-c01-r10-attempt01,n0100-c01-r10-attempt01-fabric-measured-OP1,n0100-c01-r10-attempt01-traditional-measured-OP1,100,100,100,100,0,0,1.0,1.0,2241.3263540000003,22.30755935,0.4782830699256677,76.95484305354496,2219.01879465,100.473849193,-76.4765599836,0.00621511331773
final-20260805T122631Z-11a3fbb-n0100-c01-r10,10,OP2,100,1,n0100-c01-r10-attempt01,n0100-c01-r10-attempt01,n0100-c01-r10-attempt01-fabric-measured-OP2,n0100-c01-r10-attempt01-traditional-measured-OP2,100,100,100,100,0,0,1.0,1.0,24.8097575,29.49138064999999,49.34469295404456,64.91081185321354,-4.68162315,0.841254527702,-15.5661188992,0.760192201349
